Numero_accession,Categorie_objet,Sous_categorie_objet,Nom_objet,Type_objet,Autres_noms_objet,Artiste_artisan,Autre_artiste_artisan,Titre,Variante_titre,Fabricant,Pays_fabricant,Province_fabricant,Ville_fabricant,Date_debut_production,Date_fin_production,Periode,Materiaux,Medium,Support,Technique_fabrication,Sujet_image,Continent_origine,Pays_origine,Province_origine,Ville_origine,Ecole_style,Culture,Secteur_geo_culturel,Territoire_ancestral_correspondant,Mode_acquisition,Date_accession
1982.1,Beaux-Arts,Estampe,estampe,épreuve d'artiste,,"Bourret, Jeannine",,Neige,,,,,,,1982,XXe siècle,,encre,papier,"imprimé, collagraphie",semi-abstraction; paysage,Amérique du Nord,Canada,Québec,Weedon,art contemporain,"nord-américain, québécois","Cantons-de-l'Est, Haut-Saint-François",,don,1982-09-10
1982.2,Beaux-Arts,Sculpture,sculpture,ronde-bosse,,"Doucet-Saito, Louise",,Non titré,,,,,,,1980,XXe siècle,"céramique, grès",,,sculpté; montage à la plaque,objet,Amérique du Nord,Canada,Québec,Way's Mills,art contemporain,"nord-américain, québécois","Cantons-de-l'Est, La Vallée de la Coaticook",,don,1982-10-08
1982.3,Beaux-Arts,Sculpture,sculpture,ronde-bosse,,"Girard, Nicole",,Sécheresse,,,,,,,1978,XXe siècle,argile,,,façonné; cuit; verni,objet,Amérique du Nord,Canada,Québec,Magog,art contemporain,"nord-américain, québécois","Cantons-de-l'Est, Memphrémagog",,don,1982-10-15
1982.4,Beaux-Arts,Peinture,peinture,murale,,"Bégin, Charles",,Brume,,,,,,,1976,XXe siècle,,huile,toile,peint,portrait; paysage,Amérique du Nord,Canada,Québec,Saint-Georges,art contemporain,"nord-américain, québécois",Chaudière-Appalaches,,don,1982-10-20
1982.5,Beaux-Arts,Sculpture,sculpture,ronde-bosse,,"Larivière, Gilles",,Lévitation,,,,,,,1979,XXe siècle,"métal, acier",,,sculpté; soudé,abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-24
1982.6,Beaux-Arts,Techniques mixtes,dessin,,,"Jeannotte, Pierre",,Mémo 16,,,,,,,1981,XXe siècle,,gouache; encre; papier,carton,dessiné,abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-24
1982.7,Beaux-Arts,Peinture,peinture,murale,,"Daigle, Yvon",,King's Landing,,,,,,,1976-09-19,XXe siècle,,acrylique,panneau de bois,peint,paysage; marine; scène de genre,,,,,art populaire / art naïf,"nord-américain, acadien",,,don,1982-10-25
1982.8,Beaux-Arts,Peinture,peinture,murale,,"Barbeau, Jacques",,Procession de la Fête-Dieu,,,,,,,1982,XXe siècle,,huile,toile,peint,scène de genre; religion,Amérique du Nord,Canada,Québec,Sherbrooke,art populaire / art naïf,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.1,Beaux-Arts,Estampe,estampe,,,"Vittecoq, Arlette",,Prélude à l'hiver,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",scène de genre; animal,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"européen, français; nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.1-9,Beaux-Arts,Estampe,album,,,Regroupement des artistes des Cantons-de-l'Est,,Diverses Gens,,,,,,,1979,XXe siècle,carton,,,,,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.2,Beaux-Arts,Estampe,estampe,,,"Richard, Hélène",,Mes yeux revoient encore,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",portrait; paysage,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.3,Beaux-Arts,Estampe,estampe,,,"Lafrance, Claude",,Atlantriptique,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.4,Beaux-Arts,Estampe,estampe,,,"Lafleur, Claude",,La fenêtre sous la mer,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.5,Beaux-Arts,Estampe,estampe,,,"Jeannotte, Pierre",,Canton Morcelé,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
1982.9.6,Beaux-Arts,Estampe,estampe,,,"Beauchesne, Francine",,Imagerie,,,,,,,1979,XXe siècle,,encre,papier aquarelle,"imprimé, sérigraphie",portrait,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,1982-10-25
