ID_TRC,PROPRIETAIRE_REF,CODE_ARR,FORME,RUELLE_ID,DATE_AMENAGEMENT,DATE_BONIFICATION,CIRCULATION,TYPE_AMENAGEMENT,TYPE_RECOUVREMENT,SUPERFICIE_RUELLE_M2,SUPERFICIE_VERDISSEMENT_M2,NUMERO_DE_RESOLUTION,DATE_MAJ
402860,"Rosemont - La Petite-Patrie","RPP","L","RPP-L-1000048",2014-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",179.653,,,2019-11-26
403793,"Plateau - Mont-Royal","PMR","H","PMR-H-1000064",2017-08-01,,"Fermée","Plates-bandes","Végétalisée",87.967,"87.96",,2019-11-13
403871,"Plateau - Mont-Royal","PMR","H","PMR-H-1000064",2019-08-01,,"Ouverte",,"Asphalté ou bétonnée",92.81,"0",,2019-11-13
405935,"Verdun","VRD","H","VRD-H-1020143",2014-10-04,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",165.126,,,2020-11-28
403418,"Outremont","OUT","I","OUT-I-1000000",2009-08-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",310.097,,,2019-11-12
403738,"Plateau - Mont-Royal","PMR","T","PMR-T-1000014",2000-08-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",133.334,,,2019-11-15
404310,"Plateau - Mont-Royal","PMR","H","PMR-H-1000083",2021-08-01,,"Fermée",,"Végétalisée",114.559,,,2020-11-27
403520,"Plateau - Mont-Royal","PMR","I","PMR-I-1000039",2011-08-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",317.34,,,2019-11-14
401253,"Mercier - Hochelaga-Maisonneuve","MHM","H","MHM-H-1000052",2020-09-03,,"Ouverte","Mobilier","Asphalté ou bétonnée",152.097,"1.44",,2020-11-13
403734,"Plateau - Mont-Royal","PMR","H","PMR-H-1000026",2003-08-01,2013-08-01,"Fermée","Mobilier","Asphalté ou bétonnée",133.025,,,2019-11-14
406066,"Sud-Ouest","SO","A","SO-A-1004009",2016-07-01,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",461.833,"33.8",,2019-11-04
403868,"Plateau - Mont-Royal","PMR","A","PMR-A-1000046",2012-08-01,,"Ouverte",,"Asphalté ou bétonnée",90.652,,,2019-11-13
400220,"Côte-Des-Neiges - Notre-Dame-de-Grâce","CDNNDG","T","CDNNDG-T-1000007",2018-06-16,,"Ouverte","Mobilier","Asphalté ou bétonnée",105.971,"5.52",,2019-07-18
405941,"Verdun","VRD","H","VRD-H-1020143",2014-10-04,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",168.799,,,2020-11-29
403731,"Plateau - Mont-Royal","PMR","A","PMR-A-1000092",2022-11-01,,"Fermée","Plates-bandes","Mixte",132.291,"9.17",,2022-11-17
403654,"Plateau - Mont-Royal","PMR","I","PMR-I-1000015",2000-08-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",389.287,,,2019-11-15
402415,"Rosemont - La Petite-Patrie","RPP","A","RPP-A-1000125",2022-09-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",116.298,"0",,2022-10-17
403365,"Plateau - Mont-Royal","PMR","A","PMR-A-1000079",2017-09-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",218.545,"4.7",,2019-11-13
406472,"Sud-Ouest","SO","I","SO-I-1004022",2021-09-01,,"Partiellement fermée","Plates-bandes et mobilier","Mixte",952.476,,,2020-12-18
403969,"Plateau - Mont-Royal","PMR","H","PMR-H-1000026",2003-08-01,2013-08-01,"Ouverte","Mobilier","Asphalté ou bétonnée",154.281,"0",,2019-11-14
404890,"Villeray - St-Michel - Parc-Extension","VSMPE","I","VSMPE-I-1100037",2021-07-01,2023-07-01,"Ouverte","Plates-bandes, mobilier et marquage au sol","Asphalté ou bétonnée",795.076,,,2022-10-11
403408,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000046",2013-07-01,,"Partiellement fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",83.611,,,2019-12-02
404052,"Plateau - Mont-Royal","PMR","H","PMR-H-1000033",2008-08-01,2015-08-01,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1327.462,"106.68",,2019-11-18
405378,"Villeray - St-Michel - Parc-Extension","VSMPE","I","VSMPE-I-1410006",2019-07-01,,"Ouverte","Plates-bandes","Végétalisée",302.668,"75",,2019-10-31
405405,"Villeray - St-Michel - Parc-Extension","VSMPE","I","VSMPE-I-1300013",2018-07-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",1124.794,"3.3",,2022-10-11
405409,"Villeray - St-Michel - Parc-Extension","VSMPE","I","VSMPE-I-1300020",2020-07-01,,"Ouverte","Plates-bandes, mobilier et marquage au sol","Asphalté ou bétonnée",1128.249,"23.9",,2022-10-11
404815,"Villeray - St-Michel - Parc-Extension","VSMPE","I","VSMPE-I-1100030",2020-07-01,,"Ouverte","Plates-bandes, mobilier et marquage au sol","Asphalté ou bétonnée",752.334,"27.1",,2020-11-23
405684,"Verdun","VRD","H","VRD-H-1020112",2011-09-24,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",108.198,,,2020-11-26
406654,"Verdun","VRD","H","VRD-H-1020132",2013-06-15,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",82.625,,,2020-11-26
405637,"Verdun","VRD","H","VRD-H-1020132",2013-06-15,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",97.5,,,2020-11-26
403899,"Plateau - Mont-Royal","PMR","I","PMR-I-1000032",2008-08-01,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",914.763,,,2019-11-14
402754,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000027",2012-07-01,,"Partiellement fermée","Plates-bandes et mobilier","Mixte",96.313,,,2019-12-06
